Lattice Number,Predicted Omega (m),Predicted Omega (b),Difference from actual
100,259219586.35726395,-928449912.104,740780413.6427361
200,281337470.110621,-1339062252.483245,718662529.889379
300,285279655.11327714,-1408618001.6216702,714720344.8867228
100,232202022.165734,-3034775305.6067295,767797977.834266
200,254049592.0036013,-3433163360.172728,745950407.9963987
300,258076833.10758102,-3500744542.8042264,741923166.892419
100,232202022.165734,-3034775305.6067295,767797977.834266
100,232202022.165734,-3034775305.6067295,767797977.834266
100,232202022.165734,-3034775305.6067295,767797977.834266
100,232202022.165734,-3034775305.6067295,767797977.834266
100,232202022.165734,-3034775305.6067295,767797977.834266
100,232202022.165734,-3034775305.6067295,767797977.834266
100,232202022.165734,-3034775305.6067295,767797977.834266
100,232202022.165734,-3034775305.6067295,767797977.834266
100,232202022.1657333,-3034775305.6067295,767797977.8342667
100,232202022.1657333,-3034775305.6067295,767797977.8342667
100,232202022.1657333,-3034775305.6067295,767797977.8342667
